,Q_id
1380,60848502
1381,60855112
1382,60949976
1383,60958515
1384,60999372
1385,61027799
1386,61029094
1387,61043175
1388,61046738
1389,61074827
1390,61076538
1391,61098168
1392,61104010
1393,61126815
1394,61130083
1395,61131010
1396,61133576
1397,61139531
1398,61143665
1399,61153059
1400,61179497
1401,61186825
1402,61227577
1403,61227989
1404,61242870
1405,61260794
1406,61260962
1407,61265140
1408,61275556
1409,61285166
1410,61287279
1411,61347688
1412,61351379
1413,61352199
1414,61369146
1415,61400120
1416,61413322
1417,61421853
1418,61422675
1419,61443232
1420,61506511
1421,61514980
1422,61522396
1423,61530464
1424,61530994
1425,61551235
1426,61577214
1427,61579355
1428,61588926
1429,61625561
1430,61627283
1431,61631903
1432,61632093
1433,61637937
1434,61670706
1435,61687579
1436,61710224
1437,61715886
1438,61718927
1439,61719718
1440,61721150
1441,61749589
1442,61799995
1443,61834173
1444,61838314
1445,61849075
1446,61904255
1447,61917571
1448,61917784
1449,61937054
1450,61993239
1451,61995658
1452,61999007
1453,62008966
1454,62039313
1455,62039864
1456,62040043
1457,62059427
1458,62081697
1459,62099620
1460,62108417
1461,62111263
1462,62115991
1463,62123270
1464,62136577
1465,62140703
1466,62148036
1467,62152449
1468,62195872
1469,62232219
1470,62265258
1471,62278484
1472,62288513
1473,62306349
1474,62309675
1475,62325295
1476,62348303
1477,62365966
1478,62369972
1479,62396059
1480,62419140
1481,62431496
1482,62432644
1483,62562613
1484,62568602
1485,62592916
1486,62600920
1487,62617930
1488,62629127
1489,62630094
1490,62641734
1491,62644105
1492,62644696
1493,62663883
1494,62673051
1495,62708921
1496,62776410
1497,62804318
1498,62833535
1499,62840807
1500,62841684
1501,62901550
1502,62989793
1503,63014525
1504,63033287
1505,63065587
1506,63083929
1507,63085873
1508,63129448
1509,63131917
1510,63142518
1511,63149343
1512,63155802
1513,63160858
1514,63206034
1515,63284412
1516,63331878
1517,63368035
1518,63411497
1519,63418781
1520,63423384
1521,63450771
1522,63465888
1523,63480058
1524,63492895
1525,63510234
1526,63528385
1527,63539334
1528,63553008
1529,63558479
1530,63564298
1531,63569451
1532,63569559
1533,63571516
1534,63571779
1535,63608065
1536,63608259
1537,63635792
1538,63638336
1539,63640167
1540,63664305
1541,63692800
1542,63731147
1543,63764696
1544,63765161
1545,63795260
1546,63799248
1547,63840954
1548,63876441
1549,63896433
1550,63917977
1551,64008566
1552,64014516
1553,64047545
1554,64079288
1555,64093734
1556,64109087
1557,64121486
1558,64143536
1559,64203336
1560,64204424
1561,64254268
1562,64270036
1563,64347383
1564,64369775
1565,64409729
1566,64431154
1567,64452040
1568,64457194
1569,64458631
1570,64468332
1571,64474049
1572,64475968
1573,64480238
1574,64491689
1575,64527227
1576,64529795
1577,64544873
1578,64606621
1579,64635369
1580,64637228
1581,64637740
1582,64660933
1583,64672736
1584,64717761
1585,64727346
1586,64733168
1587,64734727
1588,64747388
1589,64752982
1590,64769036
1591,64786054
1592,64791687
1593,64836885
1594,64844600
1595,64850835
1596,64874754
1597,64901844
1598,64909602
1599,64914279
1600,64927718
1601,64936597
1602,64947274
1603,64961136
1604,64984744
1605,64986588
1606,65016546
1607,65033551
1608,65108662
1609,65111050
1610,65131033
1611,65140224
1612,65164707
1613,65184612
1614,65190574
1615,65243250
1616,65245185
1617,65252264
1618,65255016
1619,65261976
1620,65270741
1621,65300985
1622,65301985
1623,65311936
1624,65327616
1625,65330343
1626,65331496
1627,65333151
1628,65333583
1629,65347157
1630,65401056
1631,65430662
1632,65445661
1633,65472650
1634,65487273
1635,65504143
1636,65555031
1637,65555978
1638,65558980
1639,65559336
1640,65580097
1641,65584569
1642,65592541
1643,65602967
1644,65606265
1645,65615343
1646,65626666
1647,65639133
1648,65639763
1649,65649359
1650,65653070
1651,65671834
1652,65672011
1653,65720347
1654,65749661
1655,65770449
1656,65774072
1657,65790798
1658,65815003
1659,65828623
1660,65843103
1661,65846998
1662,65852750
1663,65866826
1664,65871988
1665,65872872
1666,65881906
1667,65893787
1668,65900427
1669,65903404
1670,65927605
1671,65927842
1672,65941009
1673,65951347
1674,65957155
1675,65970921
1676,65980992
1677,65991664
1678,66035964
1679,66039246
1680,66043705
1681,66044445
1682,66049662
1683,66070698
1684,66090086
1685,66123940
1686,66124556
1687,66156915
1688,66162516
1689,66169856
1690,66249918
1691,66254675
1692,66260614
1693,66269969
1694,66341594
1695,66357444
1696,66386345
1697,66412245
1698,66413196
1699,66417263
1700,66421399
1701,66450878
1702,66483020
1703,66486965
1704,66488492
1705,66548581
1706,66570575
1707,66583845
1708,66586086
1709,66595840
1710,66598165
1711,66638299
1712,66667085
1713,66694731
1714,66708274
1715,66740953
1716,66741314
1717,66755968
1718,66772358
1719,66782781
1720,66796912
1721,66806661
1722,66808091
1723,66810912
1724,66843467
1725,66870166
1726,66879956
1727,66895677
1728,66910039
1729,66931929
1730,66934262
1731,66996518
1732,66998154
1733,67006986
1734,67012965
1735,67026334
1736,67042441
1737,67052176
1738,67071247
1739,67085619
1740,67105040
1741,67117320
1742,67129816
1743,67131435
1744,67167746
1745,67187578
1746,67189616
1747,67194335
1748,67236947
1749,67250751
1750,67279664
1751,67282705
1752,67288884
1753,67290128
1754,67291676
1755,67339128
1756,67347343
1757,67351028
1758,67365196
1759,67385201
1760,67395815
1761,67397050
