,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
72,35661976,2016-02-26 21:22:27.573,1039.0,2.0,1.0,1.0,0,"[('0', Timestamp('2016-02-26 21:22:27.573000'))]",2016-02-26 21:22:27.573000,2016-02-26 21:22:27.573000,0.0,0.0
73,35711406,2016-02-29 22:55:44.143,708.0,2.0,0.0,1.0,0,"[('0', Timestamp('2016-02-29 22:55:44.143000'))]",2016-02-29 22:55:44.143000,2016-02-29 22:55:44.143000,0.0,0.0
74,35753144,2016-03-02 16:41:05.117,103.0,0.0,2.0,1.0,35759139,"[('35759139', Timestamp('2016-03-02 16:41:05.117000'))]",2016-03-02 16:41:05.117000,2016-03-02 16:41:05.117000,0.0,0.0
75,35757799,2016-03-02 20:52:59.080,27152.0,0.0,12.0,9.0,35830221,"[('35830221', Timestamp('2016-03-02 20:52:59.080000'))]",2016-03-02 20:52:59.080000,2016-03-02 20:52:59.080000,0.0,0.0
76,35810172,2016-03-05 04:52:40.240,315406.0,1.0,180.0,25.0,35817969,"[('35817969', Timestamp('2016-03-05 04:52:40.240000'))]",2016-03-05 04:52:40.240000,2016-03-05 04:52:40.240000,0.0,0.0
77,35820607,2016-03-05 22:14:15.503,1461.0,0.0,0.0,1.0,35820663,"[('35820663', Timestamp('2016-03-05 22:14:15.503000'))]",2016-03-05 22:14:15.503000,2016-03-05 22:14:15.503000,0.0,0.0
78,35875467,2016-03-08 18:45:01.240,2728.0,3.0,4.0,3.0,35880000,"[('35880000', Timestamp('2016-03-08 18:45:01.240000'))]",2016-03-08 18:45:01.240000,2016-03-08 18:45:01.240000,0.0,0.0
79,35989956,2016-03-14 14:17:40.623,3492.0,0.0,8.0,1.0,35990101,"[('35990101', Timestamp('2016-03-14 14:17:40.623000'))]",2016-03-14 14:17:40.623000,2016-03-14 14:17:40.623000,0.0,0.0
80,36088572,2016-03-18 15:41:02.217,2665.0,1.0,1.0,1.0,36678083,"[('36678083', Timestamp('2016-03-18 15:41:02.217000'))]",2016-03-18 15:41:02.217000,2016-03-18 15:41:02.217000,0.0,0.0
81,36194069,2016-03-24 05:55:35.993,1683.0,0.0,9.0,1.0,36194169,"[('36194169', Timestamp('2016-03-24 05:55:35.993000'))]",2016-03-24 05:55:35.993000,2016-03-24 05:55:35.993000,0.0,0.0
82,36250125,2016-03-27 17:03:12.507,862.0,5.0,3.0,1.0,0,"[('0', Timestamp('2016-03-27 17:03:12.507000'))]",2016-03-27 17:03:12.507000,2016-03-27 17:03:12.507000,0.0,0.0
83,36380468,2016-04-03 00:56:51.140,3887.0,11.0,23.0,2.0,0,"[('0', Timestamp('2016-04-03 00:56:51.140000'))]",2016-04-03 00:56:51.140000,2016-04-03 00:56:51.140000,0.0,0.0
84,36436804,2016-04-05 20:50:45.310,1840.0,1.0,1.0,1.0,36436970,"[('36436970', Timestamp('2016-04-05 20:50:45.310000'))]",2016-04-05 20:50:45.310000,2016-04-05 20:50:45.310000,0.0,0.0
85,36461392,2016-04-06 20:12:10.493,164.0,0.0,0.0,1.0,0,"[('0', Timestamp('2016-04-06 20:12:10.493000'))]",2016-04-06 20:12:10.493000,2016-04-06 20:12:10.493000,0.0,0.0
86,36477555,2016-04-07 13:23:55.123,1016.0,4.0,0.0,1.0,0,"[('0', Timestamp('2016-04-07 13:23:55.123000'))]",2016-04-07 13:23:55.123000,2016-04-07 13:23:55.123000,0.0,0.0
87,36507147,2016-04-08 18:51:28.750,1823.0,0.0,5.0,2.0,0,"[('0', Timestamp('2016-04-08 18:51:28.750000'))]",2016-04-08 18:51:28.750000,2016-04-08 18:51:28.750000,0.0,0.0
88,36559850,2016-04-11 21:45:31.677,12492.0,3.0,28.0,2.0,36570555,"[('36570555', Timestamp('2016-04-11 21:45:31.677000'))]",2016-04-11 21:45:31.677000,2016-04-11 21:45:31.677000,0.0,0.0
89,36724785,2016-04-19 16:56:13.847,7143.0,0.0,3.0,2.0,36725752,"[('36725752', Timestamp('2016-04-19 16:56:13.847000'))]",2016-04-19 16:56:13.847000,2016-04-19 16:56:13.847000,0.0,0.0
90,36771499,2016-04-21 13:43:01.957,1453.0,8.0,1.0,1.0,44533603,"[('44533603', Timestamp('2016-04-21 13:43:01.957000'))]",2016-04-21 13:43:01.957000,2016-04-21 13:43:01.957000,0.0,0.0
91,36809425,2016-04-23 10:12:25.883,2351.0,0.0,2.0,1.0,36812136,"[('36812136', Timestamp('2016-04-23 10:12:25.883000'))]",2016-04-23 10:12:25.883000,2016-04-23 10:12:25.883000,0.0,0.0
92,36814412,2016-04-23 17:57:46.643,1556.0,0.0,4.0,1.0,36815065,"[('36815065', Timestamp('2016-04-23 17:57:46.643000'))]",2016-04-23 17:57:46.643000,2016-04-23 17:57:46.643000,0.0,0.0
93,36849895,2016-04-25 19:56:13.547,3147.0,0.0,1.0,2.0,0,"[('0', Timestamp('2016-04-25 19:56:13.547000'))]",2016-04-25 19:56:13.547000,2016-04-25 19:56:13.547000,0.0,0.0
94,36938245,2016-04-29 12:21:08.527,5347.0,0.0,5.0,3.0,0,"[('0', Timestamp('2016-04-29 12:21:08.527000'))]",2016-04-29 12:21:08.527000,2016-04-29 12:21:08.527000,0.0,0.0
95,36945764,2016-04-29 19:05:45.143,270.0,6.0,-1.0,1.0,36946008,"[('36946008', Timestamp('2016-04-29 19:05:45.143000'))]",2016-04-29 19:05:45.143000,2016-04-29 19:05:45.143000,0.0,0.0
96,36993897,2016-05-03 00:50:36.477,1465.0,2.0,1.0,1.0,36994104,"[('36994104', Timestamp('2016-05-03 00:50:36.477000'))]",2016-05-03 00:50:36.477000,2016-05-03 00:50:36.477000,0.0,0.0
97,37008677,2016-05-03 15:46:33.763,2260.0,14.0,0.0,1.0,37086754,"[('37086754', Timestamp('2016-05-03 15:46:33.763000'))]",2016-05-03 15:46:33.763000,2016-05-03 15:46:33.763000,0.0,0.0
98,37021225,2016-05-04 07:31:51.697,4360.0,7.0,10.0,1.0,0,"[('0', Timestamp('2016-05-04 07:31:51.697000'))]",2016-05-04 07:31:51.697000,2016-05-04 07:31:51.697000,0.0,0.0
99,37022679,2016-05-04 08:45:18.347,1059.0,2.0,2.0,1.0,0,"[('0', Timestamp('2016-05-04 08:45:18.347000'))]",2016-05-04 08:45:18.347000,2016-05-04 08:45:18.347000,0.0,0.0
